order_id,order_date,product,category,quantity,unit_price,region
1001,2026-01-02,Laptop,Computer,2,6200.00,Aarhus
1002,2026-01-02,Keyboard,Accessory,6,299.00,Aarhus
1003,2026-01-03,Monitor,Screen,3,1499.00,Odense
1004,2026-01-03,Mouse,Accessory,10,149.00,Copenhagen
1005,2026-01-04,Laptop,Computer,1,6500.00,Copenhagen
1006,2026-01-04,Docking station,Accessory,4,899.00,Aarhus
1007,2026-01-05,Monitor,Screen,5,1399.00,Aalborg
1008,2026-01-05,Headset,Accessory,8,399.00,Odense
1009,2026-01-06,Mini PC,Computer,2,4200.00,Aarhus
1010,2026-01-06,Keyboard,Accessory,3,299.00,Aalborg
1011,2026-01-07,Monitor,Screen,2,1599.00,Copenhagen
1012,2026-01-07,Mouse,Accessory,12,129.00,Aarhus
1013,2026-01-08,Laptop,Computer,3,6100.00,Odense
1014,2026-01-08,Headset,Accessory,6,449.00,Copenhagen
1015,2026-01-09,Docking station,Accessory,2,899.00,Aalborg
1016,2026-01-09,Mini PC,Computer,1,4500.00,Copenhagen
1017,2026-01-10,Monitor,Screen,4,1425.00,Aarhus
1018,2026-01-10,Keyboard,Accessory,7,279.00,Odense
1019,2026-01-11,Laptop,Computer,1,6900.00,Aalborg
1020,2026-01-11,Mouse,Accessory,9,139.00,Odense
